path,validator,tag,codes,status,reason,details,hint
/home/robert/documents/scripts/records/MZK01/valid/001531001.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531004.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531008.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531094.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531116.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531118.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531119.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531132.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531251.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531298.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531317.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531319.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531322.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531410.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531413.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531465.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531586.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531606.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531637.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531638.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531640.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531734.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
/home/robert/documents/scripts/records/MZK01/valid/001531762.mrc,kramerius-links,856,"u,y",Valid,All Kramerius links valid,All links are well-formed and match existing Kramerius documents.,
/home/robert/documents/scripts/records/MZK01/valid/001531797.mrc,kramerius-links,856,"u,y",Valid,No Kramerius links found or expected,"Record contains no Kramerius links, and no matching documents exist.",
